country,bal_september,bal_ytd,bal_rank,exp_september,exp_ytd,exp_rank,september_cus,ytd_cus
Cote d'Ivoire,-25.532089,-574.363447,45,18.111042,197.906715,122,45.64005,800.981636
Jordan*,-102.119625,-544.229093,46,109.802536,1050.90113,70,219.37541,1636.274197
Trinidad and Tobago,43.00711,-534.062468,47,253.447117,2096.42301,56,223.772561,2786.121012
Estonia,-16.991451,-501.321823,48,35.433324,309.803704,108,53.884115,837.197965
Kazakhstan,-87.409891,-490.323186,49,40.60669,548.138058,87,131.2754,1075.691805
Saudi Arabia,371.752416,-484.602541,50,1290.016355,10288.86125,24,942.239771,11101.15758
Congo (Brazzaville),9.870343,-467.387204,51,11.708642,80.785417,149,1.961698,568.271421
Slovenia,-29.819177,-409.502242,52,39.432588,288.197963,111,71.554618,720.230182
Angola,-109.221514,-357.00782,53,48.001503,400.867058,100,163.081947,779.441367
Burma,-49.447521,-335.532077,54,33.047993,228.188501,120,85.649242,584.34068
Bulgaria,-36.520079,-303.850869,55,35.132621,378.340406,103,73.864167,707.785635
New Zealand,51.214981,-300.658627,56,325.713182,2877.558597,48,285.117581,3309.458485
Ghana,-19.455544,-269.355413,57,61.832426,596.138228,83,84.741802,904.565954
Turkey,-172.422753,-267.13646,58,778.278264,7706.273966,28,1001.125605,8458.445273
Lesotho,-27.161094,-228.391067,59,0.252244,0.698617,219,28.093518,234.432421
Liechtenstein,-23.181754,-222.825613,60,1.552523,12.798644,189,25.042092,238.719991
Belarus,-13.200335,-218.548185,61,9.711721,100.055556,139,24.634372,335.430259
Latvia,-58.602673,-201.909296,62,26.859234,406.319106,99,88.214206,625.084891
Greece,-39.752606,-197.171706,63,83.674262,980.427048,73,131.389656,1262.970155
Mauritius,-25.215408,-194.901329,64,6.349382,74.250885,152,32.622384,279.922085
Kenya,-28.506002,-192.768628,65,29.894005,314.228711,107,60.322714,520.641414
North Macedonia,-11.834209,-165.189428,66,3.436914,32.773224,174,15.6675,203.436943
Serbia,-19.385468,-121.22996,67,9.183103,117.507868,136,29.381807,248.127774
Laos,-14.463209,-108.453965,68,1.655045,11.798025,193,16.370637,123.758759
Botswana,-22.638939,-102.44926,69,3.601618,91.304242,141,26.639903,197.759515
Faroe Islands,-12.163383,-101.52447,70,0.370944,2.370722,209,16.285696,130.834426
Colombia*,160.916111,-97.625746,71,1127.386336,10959.72198,22,1003.703927,11487.97666
Fiji,-13.877866,-81.244038,72,5.744378,84.799894,145,24.955595,205.19081
Lithuania,15.912745,-64.751947,73,86.70339,694.346415,79,73.930321,793.496691
Chad,10.849279,-63.759772,74,11.385077,66.603343,157,0.559934,133.135437
Equatorial Guinea,-1.78633,-54.078267,75,4.517346,180.755598,124,6.416608,250.664041
South Sudan,1.617751,-47.827705,76,1.61797,18.553866,181,0,70.373721
Malawi,-1.268555,-35.753543,77,2.192092,18.662027,180,3.590488,56.428561
Bosnia and Herzegovina,-7.367289,-33.510128,78,1.003576,46.173779,167,8.662292,83.165439
Moldova,-2.954242,-29.509619,79,1.525746,16.89211,183,4.813441,49.31892
Tunisia,-3.754941,-28.888529,80,25.842486,326.160137,106,30.55016,367.143421
Cameroon,14.928167,-25.672002,81,20.020075,149.506363,128,5.431732,184.721834
