reporter_name,partner_name,year,trade_flow,no-of_imported_HS6_digit_products,import_share_in_total_products_percent,import_us_dollars_thousand,import_partner_share,ahs_simple_average,ahs_weighted_average_percent,ahs_total_tariff_lines,ahs_dutiable_tariff_lines_share_percent,ahs_duty_free_tariff_lines_share_percent,ahs_specific_tariff_lines_share_percent,ahs_ave_tariff_lines_share_percent,ahs_maxrate_percent,ahs_minrate_percent,ahs_specific_duty_imports_us_dollars_thousand,ahs_dutiable_imports_us_dollars_thousand,ahs_duty_free_imports_us_dollars_thousand,mfn_simple_average_percent,mfn_weighted_average_percent,mfn_total_tariff_lines,mfn_dutiable_tariff_lines_share_percent,mfn_duty_free_tariff_lines_share_percent,mfn_specific_tariff_lines_share_percent,mfn_ave_tariff_lines_share_percent,mfn_max_rate_percent,mfn_minrate_percent,mfn_specific_duty_imports_us_dollars_thousand,mfn_dutiable_imports_us_dollars_thousand,mfn_duty_free_imports_us_dollars_thousand,no_of_tariff_agreement
 World,Slovak Republic,2017,Import,4451,92.21,76922127.26,0.48,4.77,6.46,73693,37.63,60.1,0.21,2.07,3000,0,5420050.16,12108171.94,418235.98,8.96,11.22,580071,70.45,25.72,3.14,26.99,3000,0,6378380.07,12509323.28,17084.64,49
 World,Slovenia,2017,Import,4449,92.17,31412474.65,0.19,3.24,4.21,81520,32.55,65.02,0.29,2.15,3000,0,498777,6052550.13,272033.85,9.14,8.27,667622,70.3,25.62,3.66,29.77,3000,0,1878754.42,6311798.29,12785.69,49
 World,Sweden,2017,Import,4522,93.68,144266110.1,0.89,6.08,4.8,153389,41.35,56.61,0.28,1.76,3000,0,9513259.9,51057548.7,2420117.82,9.06,7.83,779902,70.15,25.94,2.19,17.69,3000,0,15166775.35,51829880.99,1647785.52,48
 World,Swaziland,2017,Import,2583,53.51,1876434.8,0.01,2.4,3.26,18776,23.57,75.02,0.14,1.27,959.95,0,414412.48,1109398.52,155698.91,9.48,12.72,505890,69.86,25.91,12.16,101.84,3000,0,800605.71,1265086.47,10.96,28
 World,Saint Maarten (Dutch part),2017,Import,1150,23.82,146004.23,0,10.64,9.95,4441,49.7,47.44,0.05,2.81,3000,0,46.41,31937.82,2680.05,10.98,9.78,251835,71.46,23.38,35.8,256.97,3000,0,25407.64,34565.88,51.99,3
 World,Seychelles,2017,Import,810,16.78,591812.94,0,2.59,3.63,3896,20.28,78.47,0,1.26,150,0,0,515614,39647.93,9.04,11.08,160784,67.63,28.79,17.4,130.67,3000,0,10215.34,540972.18,14289.75,24
 World,Syrian Arab Republic,2017,Import,1394,28.88,499648.27,0,2.5,4.8,9270,26.03,62.16,1.17,10.65,754.3,0,68508.38,349469.58,128729.09,11.2,11.15,281766,72.24,22.23,15.56,152.71,3000,0,154775.78,478156.01,42.67,29
 World,Turks and Caicos Isl.,2017,Import,512,10.61,16732.14,0,9.31,5.04,1810,39.12,53.09,0.44,7.35,100,0,81.94,5129.33,5851.8,9.65,17.56,95104,68.56,27.06,20.39,209.78,3000,0,4386.64,10978.33,2.8,13
 World,Chad,2017,Import,498,10.32,1181490.65,0.01,3.96,2.07,1472,37.64,61.75,0,0.61,274.5,0,0,867514.57,20893.36,8.9,3.11,77306,66.36,30.89,20.45,123.91,3000,0,839417.08,888025.47,382.46,30
 World,Togo,2017,Import,1453,30.1,1305718.42,0.01,1.09,0.73,6969,25.23,72.92,0.17,1.68,630,0,187.75,152082.79,455051.12,10.58,7.03,346057,69.91,24.97,28.33,225.84,3000,0,180997.58,571696.27,35437.64,39
 World,Thailand,2017,Import,4431,91.8,229288461.7,1.42,4.38,5.93,162256,40.11,56.16,0.43,3.3,3000,0,30120235.75,172950915.1,3193092.27,9.16,8.54,842656,70.06,26,2.27,18.2,3000,0,61390158.21,175731865.3,412142.07,42
 World,Tajikistan,2017,Import,831,17.22,964080.02,0.01,8.59,3.16,4409,43.43,54.62,0.27,1.68,611.5,0,35.96,358745.79,545462.43,10.51,5.39,171298,70.55,24.61,22.77,165.64,3000,0,33666.34,904202.24,5.98,16
 World,Tokelau,2017,Import,673,13.94,69059.17,0,8.56,2.9,2278,56.37,42.71,0.53,0.4,150,0,37.03,54234.61,6183.69,9.84,6.32,100277,71.57,24.58,13.92,155.84,3000,0,507.25,9296.32,51121.98,11
 World,Turkmenistan,2017,Import,914,18.94,7814727.86,0.05,3.9,2.02,4561,51.74,40.93,0.2,7.13,154.63,0,422.11,496312.65,470317.72,9.37,5.69,168917,68.97,26.76,22.54,135.39,3000,0,295250.59,827533.48,139096.9,15
 World,East Timor,2017,Import,252,5.22,97910.52,0,5.11,0.32,785,28.03,71.59,0.13,0.25,754.3,0,1.21,33065.69,76266.92,9.25,5.57,52039,66.68,30.17,25.99,183.18,3000,0,73239.96,108720.76,611.85,27
